word,syllables,type / part of speech,notes
나래,2,PN,
미나,2,PN,
아린,2,PN,
연아,2,PN,
영아,2,PN,
영애,2,PN,
유라,2,PN,
예림,2,PN,
민우,2,PN,
영열,2,PN,
유민,2,PN,
윤우,2,PN,
논,1,N,
눈,1,N,
말,1,N,
매,1,N,
멍,1,N,
면,1,N,
물,1,N,
알,1,N,
양,1,N,
요,1,N,
용,1,N,
원,1,N,
이,1,N,
일 ,1,N,
나무,2,N,
나물,2,N,
내란,2,N,
내일,2,N,
냉면,2,N,
냉이,2,N,
네명,2,N,
노인,2,N,
노래,2,N,
노루,2,N,
놀이,2,N,
누나,2,N,
눈알,2,N,
라임,2,N,
라면,2,N,
레몬,2,N,
마루,2,N,
마을,2,N,
마음,2,N,
만남,2,N,
만명,2,N,
망언,2,N,
망울,2,N,
매매,2,N,
매미,2,N,
맨몸,2,N,
머리,2,N,
멀미,2,N,
메론,2,N,
메밀,2,N,
메모,2,N,
명령,2,N,
명예,2,N,
모래,2,N,
모레,2,N,
모양,2,N,
무녀,2,N,
무용,2,N,
문안,2,N,
물레,2,N,
민요,2,N,
아멘,2,N,
아연,2,N,
아이,2,N,
애인,2,N,
아영,2,N,
알람,2,N,
양모,2,N,
어미,2,N,
어이,2,N,
언니,2,N,
언어,2,N,
얼음,2,N,
엄마,2,N,
얼음,2,N,
여름,2,N,
여왕,2,N,
여물,2,N,
여우,2,N,
염력,2,N,
염료,2,N,
영어,2,N,
예멘,2,N,
예열,2,N,
오너,2,N,
오늘,2,N,
오리,2,N,
오이,2,N,
요람,2,N,
요리,2,N,
용암,2,N,
우려,2,N,
우물,2,N,
우엉,2,N,
우유,2,N,
유리,2,N,
유아,2,N,
원로,2,N,
원앙,2,N,
응원,2,N,
의문,2,N,
의미,2,N,
의원,2,N,
이름,2,N,
이리,2,N,
이면,2,N,
잉어,2,N,
잉여,2,N,
이모,2,N,
눈놀이,3,N,
레모나,3,N,
멀미약,3,N,
메로나,3,N,
메아리,3,N,
미나리,3,N,
미망인,3,N,
모래알,3,N,
물놀이,3,N,
어린애,3,N,
어머니,3,N,
오만원,3,N,
온모밀,3,N,
요양원,3,N,
월요일,3,N,
유랑인,3,N,
을미년,3,N,
일요일,3,N,
만유인력,4,N,
머루나무,4,N,
명이나물,4,N,
문예이론,4,N,
아이라인,4,N,
암모니아,4,N,
인류문명,4,N,
노란,2,ADJ,
매운,2,ADJ,
노르만,3,ADJ,
날다,2,V,
널다,2,V,
놀다,2,V,
말다,2,V,
멀다,2,V,
메다,2,V,
밀다,2,V,
물다,2,V,
알다,2,V,
얼다,2,V,
오다,2,V,
울다,2,V,
나르다,3,V,
나오다,3,V,
내리다,3,V,
마르다,3,V,
모나다,3,V,
모으다,3,V,
미루다,3,V,
밀리다,3,V,
열리다,3,V,
오르다,3,V,
울리다,3,V,
날아가다,4,V,
노인이다,4,V,
누워있다,4,V,
미워하다,4,V,
안에있다,4,V,
애용하다,4,V,
애원하다,4,V,
열람하다,4,V,
영리하다,4,V,
영원하다,4,V,
오므리다,4,V,
오열하다,4,V,
완료하다,4,V,
요리하다,4,V,
위문오다,4,V,
위에있다,4,V,
유연하다,4,V,
이용하다,4,V,
날아오르다,5,V,
아래에있다,5,V,
아마,2,ADV,
얼마나,3,WH,